council_name,application_status,application_type,application_count,total_development_cost,average_development_cost,latest_source_updated_at
Liverpool City Council,Withdrawn,Development Application,5,1065000.0,213000.0,2026-03-28 23:38:26.083
Maitland City Council,Determined,Development Application,36,6897859.0,191607.19444444444,2026-03-29 00:00:08.2
Maitland City Council,Determined,Modification Application,1,407000.0,407000.0,2026-03-28 23:49:03.99
Maitland City Council,Rejected,Development Application,1,0.0,0.0,2026-03-28 23:51:40.68
Maitland City Council,Withdrawn,Development Application,2,771000.0,385500.0,2026-03-22 07:51:20.35
Mid-Coast Council,Determined,Development Application,24,5765520.92,240230.03833333333,2026-03-28 23:51:39.353
Mid-Coast Council,Determined,Modification Application,5,185000.0,61666.666666666664,2026-03-22 08:05:06.977
Mid-Coast Council,Operational consent issued,Development Application,1,46565.0,46565.0,2026-03-28 23:57:46.123
Mid-Western Regional Council,Determined,Development Application,1,767400.0,767400.0,2026-03-22 07:59:23.127
Moree Plains Shire Council,Determined,Development Application,2,247697.0,123848.5,2026-03-22 07:25:58.97
Mosman Municipal Council,Deferred Commencement,Development Application,1,242766.21,242766.21,2026-03-22 08:40:54.777
Mosman Municipal Council,Determined,Development Application,4,1099777.2,274944.3,2026-03-22 07:34:44.86
Mosman Municipal Council,Determined,Modification Application,4,1569672.0,392418.0,2026-03-28 23:29:39.457
Mosman Municipal Council,Under Assessment,Development Application,1,1448000.0,1448000.0,2026-03-21 22:57:24.233
Murray River Council,Determined,Development Application,3,38850.0,12950.0,2026-03-28 21:56:41.58
Muswellbrook Shire Council,Determined,Development Application,1,30000.0,30000.0,2026-03-22 08:05:08.503
Nambucca Valley Council,Deferred Commencement,Development Application,1,20000.0,20000.0,2026-03-27 22:41:08.49
Nambucca Valley Council,Determined,Development Application,2,84000.0,42000.0,2026-03-28 22:00:43.38
Nambucca Valley Council,Determined,Modification Application,1,120000.0,120000.0,2026-03-28 22:02:45.55
Newcastle City Council,Determined,Development Application,40,15324984.95,383124.62374999997,2026-03-22 08:40:52.507
Newcastle City Council,Determined,Modification Application,5,675069.0,168767.25,2026-03-28 22:02:13.217
Newcastle City Council,Withdrawn,Development Application,6,655805.0,109300.83333333333,2026-03-28 23:51:37.51
North Sydney Council,Determined,Development Application,17,4040743.0,237690.76470588235,2026-03-29 00:00:06.09
North Sydney Council,Determined,Modification Application,8,59147150.0,9857858.333333334,2026-03-22 08:42:01.833
North Sydney Council,Rejected,Development Application,5,951108.0,190221.6,2026-03-27 22:43:06.853
North Sydney Council,Rejected,Modification Application,2,1000000.0,500000.0,2026-03-22 07:44:39.97
North Sydney Council,Withdrawn,Development Application,2,93000.0,46500.0,2026-03-22 07:28:37.443
Northern Beaches Council,Deferred Commencement,Development Application,1,1054145.0,1054145.0,2026-03-20 23:16:56.823
Northern Beaches Council,Determined,Development Application,103,89774020.46000001,871592.4316504855,2026-03-28 23:53:37.78
Northern Beaches Council,Determined,Modification Application,49,14444636.57,352308.20902439026,2026-03-28 23:53:45.71
Northern Beaches Council,Operational consent issued,Development Application,1,0.0,0.0,2026-03-27 22:43:53.387
Northern Beaches Council,Withdrawn,Development Application,10,38957022.0,3895702.2,2026-03-22 08:43:58.37
Northern Beaches Council,Withdrawn,Modification Application,5,253100.0,63275.0,2026-03-22 07:25:17.38
Oberon Council,Determined,Development Application,1,55000.0,55000.0,2026-03-28 23:52:36.737
Orange City Council,Determined,Development Application,5,1120275.0,224055.0,2026-03-28 23:51:43.193
Orange City Council,Determined,Modification Application,1,460000.0,460000.0,2026-03-22 08:04:59.14
Parkes Shire Council,Determined,Development Application,1,37675.0,37675.0,2026-03-22 07:59:32.323
Penrith City Council,Cancelled,Development Application,1,37730.0,37730.0,2026-03-20 22:49:53.943
Penrith City Council,Determined,Development Application,100,52953098.21,529530.9821,2026-03-22 08:43:54.9
Penrith City Council,Determined,Modification Application,13,18683600.73,1698509.1572727272,2026-03-22 08:43:31.22
Penrith City Council,Rejected,Development Application,2,80000.0,40000.0,2026-03-28 22:05:00.527
Penrith City Council,Withdrawn,Development Application,7,3863933.0,551990.4285714285,2026-03-22 08:17:07.717
Port Macquarie-Hastings Council,Determined,Development Application,3,327443.0,109147.66666666667,2026-03-28 22:00:33.467
Port Stephens Council,Additional Information Requested,Modification Application,1,0.0,0.0,2026-03-20 22:50:42.53
Port Stephens Council,Determined,Development Application,8,2442569.99,305321.24875,2026-03-28 23:48:57.94
Port Stephens Council,Determined,Modification Application,1,5000.0,5000.0,2026-03-22 08:11:09.613
Port Stephens Council,Under Assessment,Development Application,2,1090000.0,545000.0,2026-03-20 23:20:56.08
Queanbeyan-Palerang Regional Council,Deferred Commencement,Development Application,1,600.0,600.0,2026-03-28 22:56:58.01
Queanbeyan-Palerang Regional Council,Determined,Development Application,38,11083025.0,291658.55263157893,2026-03-28 23:55:35.203
Queanbeyan-Palerang Regional Council,Determined,Modification Application,2,405000.0,202500.0,2026-03-20 23:25:14.783
Randwick City Council,Determined,Development Application,5,2370200.0,474040.0,2026-03-28 23:55:13.357
Randwick City Council,Determined,Modification Application,2,0.0,0.0,2026-03-20 22:56:54.243
Randwick City Council,Rejected,Development Application,2,581000.0,290500.0,2026-03-22 08:15:51.63
Randwick City Council,Rejected,Modification Application,2,163570.0,81785.0,2026-03-20 22:38:44.45
Randwick City Council,Withdrawn,Development Application,2,349000.0,174500.0,2026-03-22 08:04:28.553
Randwick City Council,Withdrawn,Modification Application,2,2281484.0,2281484.0,2026-03-20 23:21:01.72
Richmond Valley Council,Determined,Modification Application,1,0.0,0.0,2026-03-22 07:40:16.903
Ryde City Council,Determined,Development Application,38,44277371.620000005,1165193.9900000002,2026-03-28 23:52:27.847
Ryde City Council,Determined,Modification Application,18,6869250.140000001,490660.7242857143,2026-03-28 23:50:10.817
Ryde City Council,Withdrawn,Development Application,1,63140.0,63140.0,2026-03-20 22:39:16.863
